Time,normalized,interpolated,MGCplus_3,result,ModifiedMGCplus_3
0.805,0.040724397721822535,-0.00609,-0.00609,1,-0.00609
0.81,0.04089439772182254,-0.00592,-0.00592,1,-0.00592
0.815,0.04109439772182254,-0.00572,-0.00572,1,-0.00572
0.82,0.041334397721822534,-0.00548,-0.00548,1,-0.00548
0.825,0.041494397721822535,-0.00532,-0.00532,1,-0.00532
0.83,0.041564397721822535,-0.00525,-0.00525,1,-0.00525
0.835,0.041454397721822536,-0.00536,-0.00536,1,-0.00536
0.84,0.041364397721822536,-0.00545,-0.00545,1,-0.00545
0.845,0.04135439772182254,-0.00546,-0.0054600000000000004,1,-0.00546
0.85,0.04127439772182254,-0.00554,-0.00554,1,-0.00554
0.855,0.04121439772182254,-0.0056,-0.0056,1,-0.0056
0.86,0.041184397721822544,-0.00563,-0.00563,1,-0.00563
0.865,0.04119439772182254,-0.00562,-0.00562,1,-0.00562
0.87,0.04128439772182254,-0.005529999999999999,-0.005529999999999999,1,-0.005529999999999999
0.875,0.041454397721822536,-0.00536,-0.00536,1,-0.00536
0.88,0.041744397721822535,-0.00507,-0.00507,1,-0.00507
0.885,0.04193439772182254,-0.00488,-0.00488,1,-0.00488
0.89,0.041974397721822536,-0.00484,-0.00484,1,-0.00484
0.895,0.04209439772182254,-0.00472,-0.00472,1,-0.00472
0.9,0.04230439772182254,-0.00451,-0.00451,1,-0.00451
0.905,0.042444397721822534,-0.004370000000000001,-0.004370000000000001,1,-0.004370000000000001
0.91,0.042604397721822534,-0.00421,-0.00421,1,-0.00421
0.915,0.042654397721822536,-0.0041600000000000005,-0.0041600000000000005,1,-0.0041600000000000005
0.92,0.042744397721822536,-0.004070000000000001,-0.004070000000000001,1,-0.004070000000000001
0.925,0.04289439772182254,-0.00392,-0.00392,1,-0.00392
0.93,0.04287439772182254,-0.00394,-0.00394,1,-0.00394
0.935,0.04279439772182254,-0.00402,-0.00402,1,-0.00402
0.94,0.042604397721822534,-0.00421,-0.00421,1,-0.00421
0.945,0.04280439772182254,-0.0040100000000000005,-0.0040100000000000005,1,-0.0040100000000000005
0.95,0.04327439772182254,-0.00354,-0.0035399999999999997,1,-0.00354
0.955,0.04331439772182254,-0.0035,-0.0035,1,-0.0035
0.96,0.043264397721822535,-0.00355,-0.00355,1,-0.00355
0.965,0.04339439772182254,-0.0034200000000000003,-0.0034200000000000003,1,-0.0034200000000000003
0.97,0.04327439772182254,-0.00354,-0.0035399999999999997,1,-0.00354
0.975,0.043174397721822536,-0.00364,-0.00364,1,-0.00364
0.98,0.04329439772182254,-0.00352,-0.00352,1,-0.00352
0.985,0.04321439772182254,-0.0036,-0.0036,1,-0.0036
0.99,0.042994397721822536,-0.003820000000000001,-0.003820000000000001,1,-0.003820000000000001
0.995,0.04287439772182254,-0.00394,-0.00394,1,-0.00394
1.0,0.04302439772182254,-0.00379,-0.00379,1,-0.00379
1.005,0.04347439772182254,-0.00334,-0.0033399999999999997,1,-0.00334
1.01,0.04361439772182254,-0.0032,-0.0032,1,-0.0032
1.015,0.043694397721822535,-0.00312,-0.00312,1,-0.00312
1.02,0.044034397721822535,-0.00278,-0.00278,1,-0.00278
1.025,0.044214397721822535,-0.0026,-0.0026,1,-0.0026
1.03,0.044554397721822535,-0.0022600000000000003,-0.0022600000000000003,1,-0.0022600000000000003
1.035,0.04461439772182254,-0.0022,-0.0022,1,-0.0022
1.04,0.044694397721822536,-0.00212,-0.00212,1,-0.00212
1.045,0.04472439772182254,-0.00209,-0.00209,1,-0.00209
1.05,0.044824397721822534,-0.00199,-0.00199,1,-0.00199
1.055,0.04502439772182254,-0.00179,-0.00179,1,-0.00179
1.06,0.045214397721822536,-0.0016,-0.0016,1,-0.0016
1.065,0.045374397721822536,-0.00144,-0.00144,1,-0.00144
1.07,0.045484397721822535,-0.00133,-0.00133,1,-0.00133
1.075,0.04583439772182254,-0.00098,-0.00098,1,-0.00098
1.08,0.045714397721822536,-0.0011,-0.0011,1,-0.0011
1.085,0.045214397721822536,-0.0016,-0.0016,1,-0.0016
1.09,0.04515439772182254,-0.0016600000000000002,-0.0016600000000000002,1,-0.0016600000000000002
1.095,0.045304397721822535,-0.00151,-0.00151,1,-0.00151
1.1,0.04552439772182254,-0.00129,-0.0012900000000000001,1,-0.00129
1.105,0.04572439772182254,-0.00109,-0.00109,1,-0.00109
1.11,0.04583439772182254,-0.00098,-0.00098,1,-0.00098
1.115,0.045894397721822536,-0.00092,-0.0009199999999999999,1,-0.00092
1.12,0.04570439772182254,-0.00111,-0.0011099999999999999,1,-0.00111
1.125,0.045624397721822536,-0.00119,-0.00119,1,-0.00119
1.13,0.04588439772182254,-0.00093,-0.00093,1,-0.00093
1.135,0.04597439772182254,-0.00084,-0.00084,1,-0.00084
1.14,0.04595439772182254,-0.00086,-0.00086,1,-0.00086
1.145,0.04615439772182254,-0.00066,-0.00066,1,-0.00066
1.15,0.04615439772182254,-0.00066,-0.00066,1,-0.00066
1.155,0.046164397721822535,-0.00065,-0.00065,1,-0.00065
1.16,0.04615439772182254,-0.00066,-0.00066,1,-0.00066
1.165,0.04624439772182254,-0.00057,-0.00057,1,-0.00057
1.17,0.04647439772182254,-0.00034,-0.00033999999999999997,1,-0.00034
1.175,0.04681439772182254,0.0,0.0,1,0.0
1.18,0.04681439772182254,0.0,0.0,1,0.0
1.185,0.046984397721822536,0.00017,0.00016999999999999999,1,0.00017
1.19,0.04699439772182254,0.00018,0.00018,1,0.00018
1.195,0.04708439772182254,0.00027,0.00027,1,0.00027
1.2,0.046914397721822536,0.0001,0.0001,1,0.0001
1.205,0.04681439772182254,0.0,0.0,1,0.0
1.21,0.047004397721822536,0.00019,0.00018999999999999998,1,0.00019
1.215,0.04696439772182254,0.00015,0.00015,1,0.00015
1.22,0.046574397721822536,-0.00024,-0.00023999999999999998,1,-0.00024
1.225,0.04617439772182254,-0.00064,-0.00064,1,-0.00064
1.23,0.046164397721822535,-0.00065,-0.00065,1,-0.00065
1.235,0.04644439772182254,-0.00037,-0.00037,1,-0.00037
1.24,0.04681439772182254,0.0,0.0,1,0.0
1.245,0.04663439772182254,-0.00018,-0.00018,1,-0.00018
1.25,0.04622439772182254,-0.00059,-0.00059,1,-0.00059
1.255,0.04624439772182254,-0.00057,-0.00057,1,-0.00057
